id;area;year;average_salary
1;MA£OPOLSKIE;2002;2060.99
2;MA£OPOLSKIE;2003;2109.69
3;MA£OPOLSKIE;2004;2216.21
4;MA£OPOLSKIE;2005;2303.42
5;MA£OPOLSKIE;2006;2443.91
6;MA£OPOLSKIE;2007;2666.24
7;MA£OPOLSKIE;2008;2903.63
8;MA£OPOLSKIE;2009;3057.71
9;MA£OPOLSKIE;2010;3169.9
10;MA£OPOLSKIE;2011;3332.98
11;MA£OPOLSKIE;2012;3456.16
12;MA£OPOLSKIE;2013;3574.22
13;MA£OPOLSKIE;2014;3700.06
14;MA£OPOLSKIE;2015;3906.96
15;MA£OPOLSKIE;2016;4077.91
16;MA£OPOLSKIE;2017;4347.1
17;MA£OPOLSKIE;2018;4678.95
18;MA£OPOLSKIE;2019;5098.26
19;MA£OPOLSKIE;2020;5536.07
20;ŒL¥SKIE;2002;2298.44
21;ŒL¥SKIE;2003;2380.23
22;ŒL¥SKIE;2004;2488.62
23;ŒL¥SKIE;2005;2587.07
24;ŒL¥SKIE;2006;2729.63
25;ŒL¥SKIE;2007;2933.32
26;ŒL¥SKIE;2008;3239.09
27;ŒL¥SKIE;2009;3405.18
28;ŒL¥SKIE;2010;3528.19
29;ŒL¥SKIE;2011;3794.62
30;ŒL¥SKIE;2012;3855.26
31;ŒL¥SKIE;2013;4022.8
32;ŒL¥SKIE;2014;4100.51
33;ŒL¥SKIE;2015;4221.45
34;ŒL¥SKIE;2016;4295.29
35;ŒL¥SKIE;2017;4481.57
36;ŒL¥SKIE;2018;4825.28
37;ŒL¥SKIE;2019;5177.86
38;ŒL¥SKIE;2020;5450.86
39;LUBUSKIE;2002;1936.54
40;LUBUSKIE;2003;1990.13
41;LUBUSKIE;2004;2067.56
42;LUBUSKIE;2005;2144.35
43;LUBUSKIE;2006;2235.01
44;LUBUSKIE;2007;2429.97
45;LUBUSKIE;2008;2653.55
46;LUBUSKIE;2009;2802.77
47;LUBUSKIE;2010;2920.43
48;LUBUSKIE;2011;3073.95
49;LUBUSKIE;2012;3203.18
50;LUBUSKIE;2013;3282.07
51;LUBUSKIE;2014;3425.38
52;LUBUSKIE;2015;3567.6
53;LUBUSKIE;2016;3734.9
54;LUBUSKIE;2017;3950.95
55;LUBUSKIE;2018;4239.92
56;LUBUSKIE;2019;4559.96
57;LUBUSKIE;2020;4832.07
58;WIELKOPOLSKIE;2002;2047.58
59;WIELKOPOLSKIE;2003;2129.03
60;WIELKOPOLSKIE;2004;2204.31
61;WIELKOPOLSKIE;2005;2263.6
62;WIELKOPOLSKIE;2006;2389.0
63;WIELKOPOLSKIE;2007;2610.82
64;WIELKOPOLSKIE;2008;2868.81
65;WIELKOPOLSKIE;2009;2976.28
66;WIELKOPOLSKIE;2010;3126.36
67;WIELKOPOLSKIE;2011;3284.41
68;WIELKOPOLSKIE;2012;3397.25
69;WIELKOPOLSKIE;2013;3515.31
70;WIELKOPOLSKIE;2014;3597.69
71;WIELKOPOLSKIE;2015;3723.69
72;WIELKOPOLSKIE;2016;3894.1
73;WIELKOPOLSKIE;2017;4124.13
74;WIELKOPOLSKIE;2018;4382.96
75;WIELKOPOLSKIE;2019;4687.39
76;WIELKOPOLSKIE;2020;4985.75
77;ZACHODNIOPOMORSKIE;2002;2068.44
78;ZACHODNIOPOMORSKIE;2003;2134.74
79;ZACHODNIOPOMORSKIE;2004;2221.63
80;ZACHODNIOPOMORSKIE;2005;2307.99
81;ZACHODNIOPOMORSKIE;2006;2406.98
82;ZACHODNIOPOMORSKIE;2007;2615.83
83;ZACHODNIOPOMORSKIE;2008;2881.0
84;ZACHODNIOPOMORSKIE;2009;3021.51
85;ZACHODNIOPOMORSKIE;2010;3120.15
86;ZACHODNIOPOMORSKIE;2011;3289.56
87;ZACHODNIOPOMORSKIE;2012;3417.76
88;ZACHODNIOPOMORSKIE;2013;3539.12
89;ZACHODNIOPOMORSKIE;2014;3649.27
90;ZACHODNIOPOMORSKIE;2015;3793.68
91;ZACHODNIOPOMORSKIE;2016;3946.28
92;ZACHODNIOPOMORSKIE;2017;4154.25
93;ZACHODNIOPOMORSKIE;2018;4431.95
94;ZACHODNIOPOMORSKIE;2019;4769.71
95;ZACHODNIOPOMORSKIE;2020;5099.49
96;DOLNOŒL¥SKIE;2002;2165.84
97;DOLNOŒL¥SKIE;2003;2233.58
98;DOLNOŒL¥SKIE;2004;2356.89
99;DOLNOŒL¥SKIE;2005;2477.56
100;DOLNOŒL¥SKIE;2006;2617.16
101;DOLNOŒL¥SKIE;2007;2860.66
102;DOLNOŒL¥SKIE;2008;3135.83
103;DOLNOŒL¥SKIE;2009;3295.44
104;DOLNOŒL¥SKIE;2010;3412.37
105;DOLNOŒL¥SKIE;2011;3587.25
106;DOLNOŒL¥SKIE;2012;3709.32
107;DOLNOŒL¥SKIE;2013;3868.86
108;DOLNOŒL¥SKIE;2014;4042.86
109;DOLNOŒL¥SKIE;2015;4204.24
110;DOLNOŒL¥SKIE;2016;4385.84
111;DOLNOŒL¥SKIE;2017;4654.51
112;DOLNOŒL¥SKIE;2018;4942.39
113;DOLNOŒL¥SKIE;2019;5323.55
114;DOLNOŒL¥SKIE;2020;5693.69
115;OPOLSKIE;2002;2029.99
116;OPOLSKIE;2003;2087.3
117;OPOLSKIE;2004;2183.74
118;OPOLSKIE;2005;2249.89
119;OPOLSKIE;2006;2367.74
120;OPOLSKIE;2007;2607.45
121;OPOLSKIE;2008;2873.22
122;OPOLSKIE;2009;2987.87
123;OPOLSKIE;2010;3137.29
124;OPOLSKIE;2011;3249.58
125;OPOLSKIE;2012;3358.42
126;OPOLSKIE;2013;3473.4
127;OPOLSKIE;2014;3632.84
128;OPOLSKIE;2015;3793.28
129;OPOLSKIE;2016;3927.04
130;OPOLSKIE;2017;4144.91
131;OPOLSKIE;2018;4379.25
132;OPOLSKIE;2019;4712.47
133;OPOLSKIE;2020;5078.51
134;KUJAWSKO-POMORSKIE;2002;1953.39
135;KUJAWSKO-POMORSKIE;2003;2000.96
136;KUJAWSKO-POMORSKIE;2004;2087.3
137;KUJAWSKO-POMORSKIE;2005;2153.46
138;KUJAWSKO-POMORSKIE;2006;2268.87
139;KUJAWSKO-POMORSKIE;2007;2443.17
140;KUJAWSKO-POMORSKIE;2008;2691.69
141;KUJAWSKO-POMORSKIE;2009;2810.97
142;KUJAWSKO-POMORSKIE;2010;2910.82
143;KUJAWSKO-POMORSKIE;2011;3062.32
144;KUJAWSKO-POMORSKIE;2012;3182.31
145;KUJAWSKO-POMORSKIE;2013;3322.09
146;KUJAWSKO-POMORSKIE;2014;3439.06
147;KUJAWSKO-POMORSKIE;2015;3540.25
148;KUJAWSKO-POMORSKIE;2016;3672.98
149;KUJAWSKO-POMORSKIE;2017;3886.2
150;KUJAWSKO-POMORSKIE;2018;4139.21
151;KUJAWSKO-POMORSKIE;2019;4494.37
152;KUJAWSKO-POMORSKIE;2020;4831.73
153;POMORSKIE;2002;2175.63
154;POMORSKIE;2003;2257.16
155;POMORSKIE;2004;2374.71
156;POMORSKIE;2005;2511.25
157;POMORSKIE;2006;2650.2
158;POMORSKIE;2007;2882.56
159;POMORSKIE;2008;3167.7
160;POMORSKIE;2009;3320.06
161;POMORSKIE;2010;3383.58
162;POMORSKIE;2011;3567.49
163;POMORSKIE;2012;3696.89
164;POMORSKIE;2013;3847.12
165;POMORSKIE;2014;4011.59
166;POMORSKIE;2015;4132.13
167;POMORSKIE;2016;4274.73
168;POMORSKIE;2017;4496.64
169;POMORSKIE;2018;4794.74
170;POMORSKIE;2019;5142.01
171;POMORSKIE;2020;5484.46
172;WARMIÑSKO-MAZURSKIE;2002;1947.99
173;WARMIÑSKO-MAZURSKIE;2003;2003.28
174;WARMIÑSKO-MAZURSKIE;2004;2050.21
175;WARMIÑSKO-MAZURSKIE;2005;2103.99
176;WARMIÑSKO-MAZURSKIE;2006;2218.32
177;WARMIÑSKO-MAZURSKIE;2007;2398.0
178;WARMIÑSKO-MAZURSKIE;2008;2615.33
179;WARMIÑSKO-MAZURSKIE;2009;2752.41
180;WARMIÑSKO-MAZURSKIE;2010;2879.97
181;WARMIÑSKO-MAZURSKIE;2011;3019.37
182;WARMIÑSKO-MAZURSKIE;2012;3150.27
183;WARMIÑSKO-MAZURSKIE;2013;3264.63
184;WARMIÑSKO-MAZURSKIE;2014;3386.96
185;WARMIÑSKO-MAZURSKIE;2015;3495.02
186;WARMIÑSKO-MAZURSKIE;2016;3619.16
187;WARMIÑSKO-MAZURSKIE;2017;3802.98
188;WARMIÑSKO-MAZURSKIE;2018;4028.33
189;WARMIÑSKO-MAZURSKIE;2019;4319.51
190;WARMIÑSKO-MAZURSKIE;2020;4709.12
191;£ÓDZKIE;2002;1966.22
192;£ÓDZKIE;2003;2024.32
193;£ÓDZKIE;2004;2123.36
194;£ÓDZKIE;2005;2188.15
195;£ÓDZKIE;2006;2287.9
196;£ÓDZKIE;2007;2470.86
197;£ÓDZKIE;2008;2740.58
198;£ÓDZKIE;2009;2884.6
199;£ÓDZKIE;2010;3066.02
200;£ÓDZKIE;2011;3245.97
201;£ÓDZKIE;2012;3383.3
202;£ÓDZKIE;2013;3510.2
203;£ÓDZKIE;2014;3618.63
204;£ÓDZKIE;2015;3790.76
205;£ÓDZKIE;2016;3925.1
206;£ÓDZKIE;2017;4141.94
207;£ÓDZKIE;2018;4441.29
208;£ÓDZKIE;2019;4790.1
209;£ÓDZKIE;2020;5148.38
210;ŒWIÊTOKRZYSKIE;2002;1977.75
211;ŒWIÊTOKRZYSKIE;2003;2024.41
212;ŒWIÊTOKRZYSKIE;2004;2117.74
213;ŒWIÊTOKRZYSKIE;2005;2173.15
214;ŒWIÊTOKRZYSKIE;2006;2263.6
215;ŒWIÊTOKRZYSKIE;2007;2467.07
216;ŒWIÊTOKRZYSKIE;2008;2745.39
217;ŒWIÊTOKRZYSKIE;2009;2868.09
218;ŒWIÊTOKRZYSKIE;2010;2971.58
219;ŒWIÊTOKRZYSKIE;2011;3137.91
220;ŒWIÊTOKRZYSKIE;2012;3250.94
221;ŒWIÊTOKRZYSKIE;2013;3349.81
222;ŒWIÊTOKRZYSKIE;2014;3435.93
223;ŒWIÊTOKRZYSKIE;2015;3580.62
224;ŒWIÊTOKRZYSKIE;2016;3669.57
225;ŒWIÊTOKRZYSKIE;2017;3911.49
226;ŒWIÊTOKRZYSKIE;2018;4171.17
227;ŒWIÊTOKRZYSKIE;2019;4490.41
228;ŒWIÊTOKRZYSKIE;2020;4800.21
229;LUBELSKIE;2002;1941.01
230;LUBELSKIE;2003;1995.5
231;LUBELSKIE;2004;2096.15
232;LUBELSKIE;2005;2180.18
233;LUBELSKIE;2006;2290.6
234;LUBELSKIE;2007;2486.22
235;LUBELSKIE;2008;2771.99
236;LUBELSKIE;2009;2891.3
237;LUBELSKIE;2010;3099.6
238;LUBELSKIE;2011;3257.14
239;LUBELSKIE;2012;3382.66
240;LUBELSKIE;2013;3488.61
241;LUBELSKIE;2014;3605.03
242;LUBELSKIE;2015;3699.48
243;LUBELSKIE;2016;3815.95
244;LUBELSKIE;2017;4020.25
245;LUBELSKIE;2018;4260.71
246;LUBELSKIE;2019;4564.85
247;LUBELSKIE;2020;4914.95
248;PODKARPACKIE;2002;1875.41
249;PODKARPACKIE;2003;1950.01
250;PODKARPACKIE;2004;2018.59
251;PODKARPACKIE;2005;2081.76
252;PODKARPACKIE;2006;2179.57
253;PODKARPACKIE;2007;2372.82
254;PODKARPACKIE;2008;2614.12
255;PODKARPACKIE;2009;2740.89
256;PODKARPACKIE;2010;2877.43
257;PODKARPACKIE;2011;3023.21
258;PODKARPACKIE;2012;3152.36
259;PODKARPACKIE;2013;3282.69
260;PODKARPACKIE;2014;3412.3
261;PODKARPACKIE;2015;3527.62
262;PODKARPACKIE;2016;3653.67
263;PODKARPACKIE;2017;3837.17
264;PODKARPACKIE;2018;4089.81
265;PODKARPACKIE;2019;4388.16
266;PODKARPACKIE;2020;4707.81
267;PODLASKIE;2002;1958.0
268;PODLASKIE;2003;2035.43
269;PODLASKIE;2004;2107.5
270;PODLASKIE;2005;2192.77
271;PODLASKIE;2006;2307.59
272;PODLASKIE;2007;2524.95
273;PODLASKIE;2008;2781.21
274;PODLASKIE;2009;2884.68
275;PODLASKIE;2010;3019.83
276;PODLASKIE;2011;3178.15
277;PODLASKIE;2012;3310.71
278;PODLASKIE;2013;3432.71
279;PODLASKIE;2014;3530.17
280;PODLASKIE;2015;3647.08
281;PODLASKIE;2016;3767.2
282;PODLASKIE;2017;4005.94
283;PODLASKIE;2018;4264.04
284;PODLASKIE;2019;4575.88
285;PODLASKIE;2020;4929.64
286;MAZOWIECKIE;2002;2893.83
287;MAZOWIECKIE;2003;3005.37
288;MAZOWIECKIE;2004;3095.96
289;MAZOWIECKIE;2005;3227.04
290;MAZOWIECKIE;2006;3381.13
291;MAZOWIECKIE;2007;3670.84
292;MAZOWIECKIE;2008;4036.26
293;MAZOWIECKIE;2009;4179.63
294;MAZOWIECKIE;2010;4279.55
295;MAZOWIECKIE;2011;4504.66
296;MAZOWIECKIE;2012;4637.58
297;MAZOWIECKIE;2013;4773.41
298;MAZOWIECKIE;2014;4927.34
299;MAZOWIECKIE;2015;5098.55
300;MAZOWIECKIE;2016;5240.86
301;MAZOWIECKIE;2017;5523.65
302;MAZOWIECKIE;2018;5888.9
303;MAZOWIECKIE;2019;6248.47
304;MAZOWIECKIE;2020;6581.81
